alt,time,vs,hs,dist,ang,weight,acc,fuel
13748.0,0.0,24.8,932.0,181000.0,58.3,286.0,0.0,121.0
13722.467237647059,1.0,25.532762352941177,932.0,180068.0,80.0,285.889,1.1018262332583624,120.889
13696.393043058688,2.0,26.07419458837142,930.9149129830149,179137.08508701698,80.0,285.778,1.102254197313999,120.77799999999999
13669.776455249394,3.0,26.616587809294796,929.8294045037098,178207.25568251326,80.0,285.667,1.1026824939527493,120.66699999999999
13642.61651288931,4.0,27.159942360083488,928.7434742345544,177278.5122082787,80.0,285.556,1.1031111235624536,120.55599999999998
13614.912254303956,5.0,27.704258585354836,927.6571218476361,176350.85508643105,80.0,285.445,1.103540086531556,120.44499999999998
13586.662717473984,6.0,28.249536829971596,926.57034701466,175424.28473941638,80.0,285.33399999999995,1.1039693832491049,120.33399999999997
13557.866940034943,7.0,28.795777439042197,925.4831494069482,174498.80159000945,80.0,285.22299999999996,1.1043990141047533,120.22299999999997
13528.523959277021,8.0,29.342980757921005,924.3955286954388,173574.40606131402,80.0,285.11199999999997,1.1048289794887625,120.11199999999997
13498.632812144813,9.0,29.891147132208577,923.3074845506857,172651.09857676332,80.0,285.001,1.105259279792001,120.00099999999996
13468.192535237062,10.0,30.44027690775193,922.2190166428578,171728.87956012046,80.0,284.89,1.1056899154059463,119.88999999999996
13437.202164806416,11.0,30.9903704306448,921.1301246417386,170807.74943547873,80.0,284.77899999999994,1.106120886722687,119.77899999999995
13405.660736759188,12.0,31.5414280472279,920.0408082167253,169887.708627262,80.0,284.66799999999995,1.1065521941349223,119.66799999999995
13373.5672866551,13.0,32.093450104089186,918.9510670368286,168968.75756022517,80.0,284.55699999999996,1.106983838035965,119.55699999999995
13340.920849707036,14.0,32.64643694806412,917.8609007706716,168050.8966594545,80.0,284.4459999999999,1.1074158188197412,119.44599999999994
13307.7204607808,15.0,33.20038892623594,916.7703090864895,167134.12635036802,80.0,284.33022382266154,1.1555367289273821,119.33022382266151
13273.994788726925,16.0,33.72567205387601,915.6362999909891,166218.49005037703,78.92304339215596,284.20105704252444,1.2897713325880482,119.20105704252444
13239.828818288897,17.0,34.16597043802739,914.3838628722505,165304.10618750477,76.1806382827144,284.05705844269215,1.4386006721329163,119.05705844269214
13205.325613016726,18.0,34.50320527217055,913.0056207225441,164391.10056678223,73.34413965447034,283.8974128452087,1.5958169982683519,118.89741284520868
13170.605260127724,19.0,34.72035288900267,911.5017071421953,163479.59885964004,70.46027085646308,283.7217207942265,1.7573048291435467,118.72172079422648
13135.801511855689,20.0,34.803748272036046,909.876696392217,162569.72216324782,67.6258138754119,283.53006141560354,1.9183088873086565,118.53006141560353
13101.056935909291,21.0,34.74457594639694,908.1392067638143,161661.582956484,64.92317158001036,283.32301298764196,2.0738515270548477,118.32301298764195
13066.516535457418,22.0,34.540400451873644,906.3007757278641,160755.28218075613,62.43439158201241,283.1016495328778,2.21896830654555,118.10164953287779
13032.320436735712,23.0,34.196098721705965,904.374553344658,159850.90762741148,60.235263203265475,282.86750804979016,2.348999235347331,117.86750804979015
12998.59638400502,24.0,33.72405273069158,902.3740466530951,158948.53358075838,58.39072726433748,282.6225274874788,2.4598715305620478,117.62252748747879
12965.452815497898,25.0,33.14356850712253,900.3121760888614,158048.22140466952,56.95079616722505,282.3689635256124,2.548344535858343,117.36896352561241
12932.973196163293,26.0,32.47961933460481,898.200805303807,157150.0205993657,55.94766233738934,282.1092857893349,2.6121908876222504,117.10928578933486
12901.212099498598,27.0,31.761096664694712,896.0507658175233,156253.96983354818,55.394212780079066,281.8460655626591,2.65029890501978,116.84606556265906
12870.193309989538,28.0,31.018789509060504,893.8722597743579,155360.09757377382,55.28400007329617,281.5818624150984,2.6626917039075773,116.58186241509839
12839.909997908315,29.0,30.283312081223762,891.6754322000546,154468.42214157377,55.59256257294705,281.3191176113346,2.6504673843253905,116.31911761133463
12810.326820600707,30.0,29.58317730760703,889.470881624559,153578.95125994922,56.27987457577918,281.06006096891474,2.615671324727024,116.06006096891473
12781.383639018426,31.0,28.943181582280374,887.2699231460605,152691.68133680316,57.29362895482615,280.80663615703713,2.56111653925102,115.8066361570371
12753.000413542053,32.0,28.383225476372193,885.0845090256147,151806.59682777754,58.57300448352534,280.56044744849294,2.490171507454874,115.56044744849295
12725.082770086465,33.0,27.91764345558816,882.9268161726177,150923.67001160493,60.05255087655084,280.32272882473154,2.406536594792737,115.32272882473154
12697.527716215256,34.0,27.55505387120861,880.8085956897608,150042.86141591516,61.66584518290008,280.09433432085757,2.3140295451507313,115.09433432085756
12670.229039548087,35.0,27.298676667169964,878.7404260324374,149164.12098988274,63.3486373832287,279.8757468377666,2.216397231278632,114.8757468377666
12643.082026310401,36.0,27.14701323768483,876.731013261651,148287.38997662108,65.04130227030016,279.6671015499975,2.117165333484315,114.66710154999751
12615.98727425646,37.0,27.09475205394208,874.7866488819907,147412.60332773908,66.69052866737456,279.4682195920475,2.019531044917253,114.46821959204748
12588.853514608138,38.0,27.133759648322783,872.9108854757853,146539.6924422633,68.25028170339988,279.2786478656348,1.926297704137059,114.27864786563482
12561.599478784103,39.0,27.254035824035455,871.1044404581774,145668.58800180512,69.68215062132201,279.097701419691,1.839845574899329,114.09770141969102
12534.154933155534,40.0,27.444545628568882,869.3653008081108,144799.22270099702,70.95523562491687,278.92450571044776,1.762130350611301,113.92450571044778
12506.461054611615,41.0,27.693878543919972,867.6889811308679,143931.53371986616,72.04573520236106,278.7580369607148,1.6947002567551916,113.75803696071476
